epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,429,,,,,0.9807999730110168,0.06733434647321701
0,429,,,0.9383636116981506,0.2081630378961563,,
1,859,,,,,0.9854000210762024,0.04876134172081947
1,859,,,0.9846727252006531,0.04994192719459534,,
2,1289,,,,,0.9861999750137329,0.05070386826992035
2,1289,,,0.9901272654533386,0.0322505347430706,,
3,1719,,,,,0.9872000217437744,0.0428878553211689
3,1719,,,0.9924545288085938,0.023139553144574165,,
4,2149,,,,,0.9869999885559082,0.043610043823719025
4,2149,,,0.9944000244140625,0.01700654998421669,,
5,2150,0.9879000186920166,0.03855914622545242,,,,
